place_overall,place_gender,place_division,name,idp,team,bib,half,finish_net,finish_gun
1,1,1,"Chebet, Evans",9TGHS6FF181D5A,–,1,01:02:20,02:05:54,02:05:54
36,1,1,"Obiri, Hellen",9TGHS6FF181F14,–,122,01:11:29,02:21:38,02:21:38
568,1,–,"Ravichandran, Kae",9TGHS6FF183D78,–,616,01:16:52,02:38:57,02:39:06
2,2,2,"Geay, Gabriel",9TGHS6FF181D5B,–,3,01:02:20,02:06:04,02:06:04
40,2,2,"Beriso, Amane",9TGHS6FF181D70,–,102,01:11:30,02:21:50,02:21:50
1938,2,–,"Calamia, Cal",9TGHS6FF183D57,–,5986,01:23:30,02:51:00,02:53:33
3,3,3,"Kipruto, Benson",9TGHS6FF181D5D,–,5,01:02:19,02:06:06,02:06:06
41,3,3,"Salpeter, Lonah",9TGHS6FF181D73,–,105,01:11:29,02:21:57,02:21:57
2674,3,–,"Powers, Matthew",9TGHS6FF183D58,–,4116,01:27:03,02:54:54,02:56:46
4,4,4,"Korir, Albert",9TGHS6FF181D4F,–,19,01:02:20,02:08:01,02:08:01
42,4,4,"Yeshaneh, Ababel",9TGHS6FF181033,–,116,01:11:30,02:22:00,02:22:00
5191,4,–,"Parkin, Chris",9TGHS6FF183D5D,–,10590,01:29:17,03:04:43,03:05:43
5,5,5,"Talbi, Zouhair",9TGHS6FF181D46,–,31,01:02:20,02:08:35,02:08:35
44,5,5,"Bates, Emma",9TGHS6FF181038,–,121,01:11:30,02:22:10,02:22:10
5230,5,–,"Dill, Nicholas",9TGHS6FF183D4D,–,5804,01:27:55,03:04:52,03:07:34
6,6,6,"Kipchoge, Eliud",9TGHS6FF181D50,–,2,01:02:19,02:09:23,02:09:23
56,6,6,"Weldu, Nazret",9TGHS6FF181D76,–,114,01:11:29,02:23:25,02:23:25
5809,6,–,"Johnson, Andre",9TGHS6FF183D51,–,2919,01:31:17,03:07:27,03:08:20
7,7,7,"Fauble, Scott",9TGHS6FF181D66,–,22,01:03:59,02:09:44,02:09:44
63,7,7,"Tanui, Angela",9TGHS6FF181028,–,106,01:11:29,02:24:12,02:24:12
7676,7,–,"Harris, Zackary",9TGHS6FF183D7A,–,9915,01:33:10,03:14:47,03:15:29
8,8,8,"Chahdi, Hassan",9TGHS6FF181D6F,–,21,01:03:59,02:09:46,02:09:46
66,8,8,"Gebremaryam, Hiwot",9TGHS6FF181029,–,110,01:11:30,02:24:30,02:24:30
7717,8,–,"Palmer, Miche",9TGHS6FF183D4F,–,6357,01:31:22,03:14:58,03:18:30
9,9,9,"Korir, John",9TGHS6FF181D61,–,8,01:02:19,02:10:04,02:10:04
67,9,9,"Ngugi, Mary",9TGHS6FF18102F,–,113,01:11:54,02:24:33,02:24:33
8112,9,–,"Vasko, Jacklyn",9TGHS6FF183D79,–,5002,01:30:33,03:16:19,03:18:52
10,10,10,"Mcdonald, Matthew",9TGHS6FF181D67,Boston Athletic Association,24,01:03:59,02:10:17,02:10:17
68,10,10,"Gebreslase, Gotytom",9TGHS6FF181034,–,107,01:11:30,02:24:34,02:24:34
8393,10,–,"Juarez, Aldo",9TGHS6FF183D7C,–,8170,01:24:06,03:17:19,03:17:19
11,11,11,"Mantz, Conner",9TGHS6FF181D65,–,20,01:02:20,02:10:25,02:10:25
69,11,11,"Tuliamuk, Aliphine",9TGHS6FF181D51,–,129,01:11:54,02:24:37,02:24:37
8432,11,–,"Fedorowski, Jake",9TGHS6FF183D54,–,12458,01:35:57,03:17:25,03:20:06
12,12,12,"Albertson, Cj",9TGHS6FF181D6A,–,27,01:02:20,02:10:33,02:10:33
70,12,12,"Jepkosgei, Joyciline",9TGHS6FF181027,–,104,01:11:30,02:24:44,02:24:44
8820,12,–,"Dannecker, Elle",9TGHS6FF183D7B,–,16132,01:39:00,03:18:47,03:18:59
13,13,13,"Montanez, Nico",9TGHS6FF181D69,–,25,01:03:59,02:10:52,02:10:52
72,13,13,"Cheptoo, Viola",9TGHS6FF181036,–,119,01:11:54,02:24:49,02:24:49
8947,13,–,"Marenco Romero, Darwin",9TGHS6FF183D55,–,13397,01:37:05,03:19:14,03:23:03
14,14,14,"Kitata, Shura",9TGHS6FF181D60,–,7,01:04:36,02:11:26,02:11:26
74,14,14,"Rojas, Nell",9TGHS6FF181D79,–,125,01:12:22,02:24:51,02:24:51
9900,14,–,"Moskites, Alyssa",9TGHS6FF183D77,Somerville Road Runners,15622,01:39:57,03:22:33,03:27:32
15,15,15,"Belay, Andualem",9TGHS6FF181D62,–,11,01:02:20,02:11:50,02:11:50
75,15,15,"Brinkman, Nienke",9TGHS6FF181D77,–,120,01:11:55,02:24:58,02:24:58
10253,15,–,"Ross, Margaret",9TGHS6FF183D52,–,14924,01:38:10,03:23:39,03:27:32
16,16,16,"Pfeiffer, Hendrik",9TGHS6FF181D4E,–,26,01:04:00,02:12:22,02:12:22
76,16,16,"Chepchirchir, Celestine",9TGHS6FF181D74,–,111,01:11:29,02:25:07,02:25:07
10283,16,–,"Pfleger, Simone",9TGHS6FF183D4E,–,15027,01:40:20,03:23:45,03:30:00
17,17,17,"Flavin, Jp",9TGHS6FF18024A,Hansons-Brooks Distance Project,48,01:05:40,02:13:27,02:13:27
82,17,1,"Hall, Sara",9TGHS6FF181030,–,115,01:12:17,02:25:48,02:25:48
11755,17,–,"Ramirez, George",9TGHS6FF183D56,–,11360,01:36:59,03:28:23,03:30:19
18,18,18,"Wiley, Turner",9TGHS6FF18021C,–,45,01:05:33,02:13:57,02:13:57
100,18,17,"Linden, Desiree",9TGHS6FF181035,–,108,01:13:06,02:27:18,02:27:18
12970,18,–,"Bishop, Danielle",9TGHS6FF183D76,–,11314,01:44:57,03:32:39,03:39:05
19,19,19,"Mpofu, Isaac",9TGHS6FF181D4D,–,18,01:03:59,02:14:08,02:14:08
113,19,18,"Chepkirui, Vibian",9TGHS6FF181031,–,117,01:11:54,02:28:12,02:28:12
14724,19,–,"Barnett, Naomi",9TGHS6FF183D50,–,14530,01:44:17,03:39:12,03:43:27
20,20,20,"Hall, Chad",9TGHS6FF181AFD,–,46,01:03:59,02:14:13,02:14:13
124,20,19,"Frisbie, Annie",9TGHS6FF181D48,–,126,01:12:54,02:28:45,02:28:45
14960,20,–,"Kaftanski, Katharine",9TGHS6FF183D59,–,18404,01:49:27,03:40:02,03:43:10
21,21,21,"Mickow, Colin",9TGHS6FF1803DD,–,43,01:03:59,02:14:27,02:14:27
151,21,20,"Baysa, Atsede",9TGHS6FF181032,–,118,01:13:11,02:30:14,02:30:14
