position,name,school,year,time,split,position_change_in_split,points
1,Doris Lemngole,Alabama,SO,19:21.0,2:55.8,1,1
2,Pamela Kosgei,New Mexico,FR,19:27.8,3:02.6 | +6.8,1,2
3,Hilda Olemomoi,Florida,JR,19:28.7,3:03.4 | +7.7,-1,3
4,Amy Bunnage,Stanford,SO,19:31.1,3:05.3 | +10.1,-1,4
5,Grace Hartman,NC State,SO,19:39.5,3:13.2 | +18.5,-1,5
6,Ceili McCabe,West Virginia,SR,19:41.2,3:14.8 | +20.2,-1,6
7,Paityn Noe,Arkansas,SO,19:42.3,3:10.2 | +21.3,3,7
8,Hannah Gapes,NC State,SO,19:42.7,3:10.4 | +21.7,3,8
9,Chloe Thomas,Connecticut,SR,19:43.5,3:12.4 | +22.5,2,-1
10,Kimberley May,Providence,SR,19:45.1,3:13.6 | +24.1,2,9
11,Juliet Cherubet,Texas Tech,SO,19:47.3,3:15.5 | +26.3,2,-1
12,Caroline Jeptanui,Tulane,FR,19:47.6,3:14.1 | +26.6,-1,-1
13,Silan Ayyildiz,Oregon,SR,19:48.2,3:12.7 | +27.2,10,10
14,Lexy Halladay-Lowry,BYU,SR,19:48.4,3:14.8 | +27.4,-1,11
15,Sadie Sigfstead,Villanova,JR,19:49.0,3:15.1 | +28.0,-1,-1
16,Rachel Forsyth,Michigan State,FR,19:49.1,3:14.6 | +28.1,2,12
17,Joy Naukot,West Virginia,FR,19:50.3,3:16.1 | +29.3,1,13
18,Margot Appleton,Virginia,SR,19:51.0,3:16.3 | +30.1,1,14
19,Florence Caron,Penn State,JR,19:51.2,3:17.6 | +30.2,6,15
20,Alex Millard,Providence,SR,19:51.5,3:16.7 | +30.5,1,16
21,Brenda Jepchirchir,Auburn,FR,19:51.9,3:16.5 | +30.9,1,-1
22,Aliandrea Upshaw,Northern Arizona,SR,19:53.8,3:15.6 | +32.8,2,17
23,Chloe Scrimgeour,Georgetown,SR,19:53.8,3:19.6 | +32.8,6,18
24,Shannon Flockhart,Providence,SR,19:54.2,3:12.9 | +33.2,3,19
25,Maddy Elmore,Oregon,SR,19:55.4,3:15.0 | +34.4,-1,20
26,Phoebe Anderson,Columbia,SR,19:56.0,3:15.3 | +35.0,-1,-1
27,Taryn Parks,North Carolina,SR,19:57.0,3:13.1 | +36.0,7,21
28,Laura Pellicoro,Portland,SR,19:57.9,3:06.9 | +36.9,21,-1
29,Brenda Tuwei,Alabama,SO,19:58.8,3:24.1 | +37.8,9,22
30,Judy Chepkoech,Arizona State,FR,19:59.0,3:16.6 | +38.0,-1,-1
31,Riley Chamberlain,BYU,JR,19:59.4,3:16.5 | +38.4,1,23
32,Anika Thompson,Oregon,SR,20:00.6,3:17.8 | +39.6,1,24
33,Sophia Kennedy,Stanford,SO,20:00.6,3:13.4 | +39.6,5,25
34,Sarah Tait,West Virginia,SR,20:00.9,3:12.8 | +40.0,7,26
35,Mercy Kirarei,New Mexico,FR,20:01.3,3:13.6 | +40.3,4,27
36,Elise Stearns,Northern Arizona,SR,20:01.8,3:14.9 | +40.9,-1,28
37,Erin Strzelecki,Notre Dame,SR,20:02.9,3:17.6 | +41.9,2,29
38,Brynn Brown,North Carolina,SR,20:03.2,3:15.0 | +42.2,4,30
39,Carmen Alder,BYU,JR,20:03.6,3:16.6 | +42.6,2,31
40,Leah Jeruto,Oklahoma,FR,20:04.6,3:22.4 | +43.6,11,-1
41,Mia Cochran,Arkansas,JR,20:04.9,3:14.7 | +43.9,5,32
42,Vera Sjoberg,Boston University,JR,20:05.0,3:15.0 | +44.0,2,-1
43,Taylor Rohatinsky,BYU,SO,20:06.5,3:16.3 | +45.5,2,33
44,Annastasia Peters,Utah,SO,20:08.0,3:15.6 | +47.0,10,34
45,Rosina Machu,Gonzaga,SR,20:08.2,3:17.4 | +47.2,3,35
46,Silvia Jelego,Clemson,FR,20:08.5,3:26.4 | +47.5,18,-1
47,Zenah Cheptoo,Washington St.,FR,20:08.8,3:21.0 | +47.8,7,-1
