school,team_place,flight_score
BYU,1.0,15.0
Iowa State,2.0,20.0
Arkansas,3.0,22.0
North Carolina,4.0,31.0
Oklahoma State,5.0,34.0
Wisconsin,6.0,36.0
New Mexico,7.0,37.0
Northern Arizona,8.0,41.0
Wake Forest,9.0,51.0
Notre Dame,10.0,63.0
Syracuse,11.0,64.0
CBU,12.0,67.0
Villanova,13.0,70.0
Stanford,13.0,70.0
Furman,14.0,78.0
Oregon,14.0,78.0
Virginia,15.0,88.0
Washington,15.0,88.0
Butler,16.0,90.0
Alabama,17.0,91.0
Colorado,18.0,94.0
Harvard,19.0,107.0
Utah State,20.0,110.0
Virginia Tech,21.0,114.0
Ole Miss,22.0,116.0
Georgetown,23.0,117.0
Princeton,24.0,122.0
Tulane,25.0,138.0
Eastern Kentucky,26.0,139.0
Wyoming,27.0,141.0
Tulsa,28.0,148.0
