school,team_place,flight_score
West Virginia,1.0,18.0
BYU,2.0,22.0
Providence,3.0,23.0
Stanford,4.0,28.0
Oregon,4.0,28.0
New Mexico,5.0,32.0
NC State,6.0,33.0
Northern Arizona,7.0,38.0
Alabama,8.0,41.0
Georgetown,9.0,48.0
North Carolina,10.0,60.0
Florida,11.0,61.0
Washington,12.0,74.0
Penn State,13.0,76.0
Virginia,13.0,76.0
Arkansas,14.0,80.0
Notre Dame,15.0,84.0
Minnesota,16.0,88.0
Utah,17.0,91.0
Syracuse,18.0,104.0
Wisconsin,19.0,107.0
Michigan State,19.0,107.0
Lipscomb,20.0,111.0
Florida State,21.0,118.0
Gonzaga,21.0,118.0
Tennessee,22.0,120.0
Oklahoma State,23.0,125.0
Harvard,24.0,135.0
Toledo,25.0,138.0
Boston College,26.0,144.0
Texas,27.0,152.0
