school,team_place,points
BYU,1.0,247
Iowa State,2.0,296
Wisconsin,3.0,409
Northern Arizona,4.0,471
Wake Forest,5.0,511
Oklahoma State,6.0,543
Arkansas,7.0,550
North Carolina,8.0,559
Notre Dame,9.0,612
New Mexico,10.0,626
Stanford,11.0,648
Syracuse,12.0,671
Oregon,13.0,688
CBU,14.0,714
Virginia,15.0,790
Villanova,16.0,810
Washington,17.0,812
Colorado,18.0,822
Furman,19.0,843
Butler,20.0,844
Alabama,21.0,874
Utah State,22.0,902
Princeton,23.0,927
Georgetown,24.0,965
Virginia Tech,25.0,983
Ole Miss,26.0,996
Harvard,27.0,1004
Tulane,28.0,1115
Wyoming,29.0,1119
Eastern Kentucky,30.0,1129
Tulsa,31.0,1172
