school,team_place,points
BYU,1.0,209
Northern Arizona,2.0,279
Oregon,3.0,307
Providence,4.0,340
New Mexico,5.0,345
West Virginia,6.0,352
Georgetown,7.0,368
Stanford,8.0,374
NC State,9.0,416
North Carolina,10.0,443
Alabama,11.0,478
Florida,12.0,500
Washington,13.0,511
Virginia,14.0,543
Minnesota,15.0,589
Penn State,16.0,590
Notre Dame,17.0,603
Arkansas,18.0,638
Utah,19.0,639
Syracuse,20.0,661
Wisconsin,21.0,673
Lipscomb,22.0,701
Michigan State,23.0,718
Gonzaga,24.0,752
Tennessee,25.0,758
Florida State,26.0,783
Oklahoma State,27.0,791
Harvard,28.0,862
Boston College,29.0,908
Toledo,30.0,931
Texas,31.0,1035
