school,team_place,overall_time
BYU,1.0,2:26:07
Iowa State,2.0,2:26:35
Arkansas,3.0,2:26:54
North Carolina,4.0,2:27:17
Oklahoma State,5.0,2:27:22
Wisconsin,6.0,2:27:30
New Mexico,7.0,2:27:34
Northern Arizona,8.0,2:27:43
Wake Forest,9.0,2:27:59
Notre Dame,10.0,2:28:46
Syracuse,11.0,2:28:47
Stanford,12.0,2:28:57
CBU,13.0,2:29:03
Oregon,14.0,2:29:06
Villanova,15.0,2:29:10
Furman,16.0,2:29:27
Washington,17.0,2:29:43
Virginia,18.0,2:29:58
Colorado,19.0,2:30:04
Butler,20.0,2:30:07
Alabama,21.0,2:30:10
Utah State,22.0,2:30:53
Georgetown,23.0,2:31:07
Ole Miss,24.0,2:31:09
Virginia Tech,25.0,2:31:15
Princeton,26.0,2:31:23
Harvard,27.0,2:31:35
Wyoming,28.0,2:32:36
Eastern Kentucky,29.0,2:32:37
Tulane,30.0,2:33:08
Tulsa,31.0,2:33:29
