school,team_place,overall_time
BYU,1.0,1:40:20
West Virginia,2.0,1:40:24
Providence,3.0,1:40:31
Oregon,4.0,1:40:49
Stanford,5.0,1:40:52
NC State,6.0,1:40:58
New Mexico,7.0,1:41:04
Northern Arizona,8.0,1:41:06
Alabama,9.0,1:41:17
Georgetown,10.0,1:41:33
North Carolina,11.0,1:41:53
Florida,12.0,1:42:01
Virginia,13.0,1:42:27
Penn State,14.0,1:42:30
Washington,15.0,1:42:38
Arkansas,16.0,1:42:49
Notre Dame,17.0,1:42:56
Minnesota,18.0,1:43:00
Utah,19.0,1:43:12
Syracuse,20.0,1:43:36
Michigan State,21.0,1:43:39
Wisconsin,22.0,1:43:50
Lipscomb,23.0,1:43:55
Gonzaga,24.0,1:43:59
Tennessee,25.0,1:44:05
Florida State,26.0,1:44:11
Oklahoma State,27.0,1:44:19
Harvard,28.0,1:44:49
Boston College,29.0,1:45:09
Toledo,30.0,1:45:45
Texas,31.0,1:46:36
