Pl,Pos,Athlete,Time,one_lap_to_go,final_place,Rank Change,Event,Gender
1,20,Brian Musa,13:20.59,1,1,0,5k,Men
2,15,Habtom Samue,13:20.89,2,2,0,5k,Men
3,17,Marco Lango,13:21.17,4,3,1,5k,Men
4,13,Valentin Soc,13:21.76,6,4,2,5k,Men
5,18,Rocky Hanse,13:22.47,5,5,0,5k,Men
6,23,Matt Strangi,13:23.28,3,6,-3,5k,Men
7,5,Ishmael Kipkuru,13:25.18,8,7,1,5k,Men
8,12,Fouad Messaoud,13:25.48,7,8,-1,5k,Men
9,3,Toby Gille,13:26.74,9,9,0,5k,Men
10,11,David Mullarke,13:28.43,11,10,1,5k,Men
11,2,Robin ,13:30.52,10,11,-1,5k,Men
12,10,Colton Sand,13:36.26,16,12,4,5k,Men
13,22,Will Dale,13:36.55,17,13,4,5k,Men
14,9,Luke Tewal,13:37.47,14,14,0,5k,Men
15,4,Jacob Whit,13:37.82,12,15,-3,5k,Men
16,6,Ernest Cheruiyo,13:38.09,13,16,-3,5k,Men
17,21,Drew Bosle,13:39.04,15,17,-2,5k,Men
18,7,Jojo Jourdo,13:41.00,18,18,0,5k,Men
19,19,Ethan Stran,13:42.20,19,19,0,5k,Men
20,14,Matthew Forreste,13:43.85,20,20,0,5k,Men
21,1,Kidus Misgin,13:49.21,21,21,0,5k,Men
22,24,Hunter Christophe,13:49.43,22,22,0,5k,Men
23,8,Luke Grundvi,13:54.70,23,23,0,5k,Men
24,16,Justin Wachte,14:11.51,24,24,0,5k,Men
1,8,James Corriga,8:16.41 ,3,1,2,3k,Men
2,5,Geoffrey Kirw,8:17.12,1,2,-1,3k,Men
3,7,Carson William,8:19.71 ,2,3,-1,3k,Men
4,10,Joash Rut,8:20.47 ,5,4,1,3k,Men
5,6,Collins Kipro,8:22.92,4,5,-1,3k,Men
6,11,Mathew Kosge,8:23.70,6,6,0,3k,Men
7,2,Benjamin Balaz,8:24.46 ,10,7,3,3k,Men
8,3,Rob Mcmanu,8:25.83 ,7,8,-1,3k,Men
9,12,Cj Singleto,8:28.93 ,8,9,-1,3k,Men
10,1,Silas Kiptanu,8:32.20,9,10,-1,3k,Men
11,4,Victor Kibieg,8:32.33 ,11,11,0,3k,Men
12,9,Kristian Imrot,8:49.06,12,12,0,3k,Men
1,10,Ishmael Kipkuru,29:07.70,3,1,2,10k,Men
2,21,Habtom Samue,29:08.73,5,2,3,10k,Men
3,22,Ernest Cheruiyo,29:10.37,2,3,-1,10k,Men
4,16,Rodgers Kiplim,29:10.89,10,4,6,10k,Men
5,7,Evans Kuru,29:10.91,1,5,-4,10k,Men
6,8,David Mullarke,29:11.05,6,6,0,10k,Men
7,20,Dylan Schuber,29:11.18,4,7,-3,10k,Men
8,11,Creed Thompso,29:11.44,12,8,4,10k,Men
9,19,Denis Kipngetic,29:11.50,7,9,-2,10k,Men
10,1,Ben Ros,29:12.19,9,10,-1,10k,Men
11,14,Dismus Lokir,29:13.51,8,11,-3,10k,Men
12,13,Cole Sprou,29:18.13,13,12,1,10k,Men
13,24,Murphy Smit,29:18.39,11,13,-2,10k,Men
14,12,Joey Noke,29:19.76,14,14,0,10k,Men
15,5,Ethan Colema,29:22.01,20,15,5,10k,Men
16,4,William Zegarsk,29:22.91,18,16,2,10k,Men
17,9,Dylan Throo,29:24.03,19,17,2,10k,Men
18,18,Bernard Cheruiyo,29:24.80,15,18,-3,10k,Men
19,6,Timothy Chesondi,29:26.37,16,19,-3,10k,Men
20,15,Drew Bosle,29:28.52,17,20,-3,10k,Men
21,2,Sam Lawle,29:31.40,22,21,1,10k,Men
22,23,Victor Kipro,29:31.44,21,22,-1,10k,Men
23,3,Shane Brosna,29:33.81,23,23,0,10k,Men
DNF,17,Dennis Kiprut,-,24,24,0,10k,Men
1,11,Nathan Gree,3:47.26,4,1,3,1500m,Men
2,8,Ethan Stran,3:47.33,8,2,6,1500m,Men
3,6,Ferenc Kovac,3:47.42,6,3,3,1500m,Men
4,9,Adam Spence,3:47.50,1,4,-3,1500m,Men
5,2,Gary Marti,3:47.58,2,5,-3,1500m,Men
6,7,Jack Crul,3:47.61,7,6,1,1500m,Men
7,3,Simeon Birnbau,3:47.64,3,7,-4,1500m,Men
8,1,Damian Hacket,3:47.74,10,8,2,1500m,Men
9,12,Brendan Herge,3:47.88,11,9,2,1500m,Men
10,4,Harrison Wit,3:47.92,12,10,2,1500m,Men
11,10,Trent Mcfarlan,3:47.94,9,11,-2,1500m,Men
12,5,Martin Segurol,3:48.71,5,12,-7,1500m,Men
1,8,Sam Whitmars,1:45.86,6,1,5,800m,Men
2,9,Matthew Erickso,1:46.32,2,2,0,800m,Men
3,3,Rivaldo Marshal,1:46.71,4,3,1,800m,Men
4,1,Samuel Rodma,1:46.86,7,4,3,800m,Men
5,4,Aidan Mccarth,1:46.88,8,5,3,800m,Men
6,2,Samuel Navarr,1:47.33,5,6,-1,800m,Men
7,6,Christian Jackso,1:47.42,1,7,-6,800m,Men
8,5,Tyrice Taylo,1:47.44,3,8,-5,800m,Men
9,7,Koitatoi Kidal,1:52.10,9,9,0,800m,Men
1,17,Pamela Kosge,15:33.96,1,1,0,5k,Women
2,10,Vera Sjober,15:34.77,7,2,5,5k,Women
3,15,Sophia Kenned,15:35.08,8,3,5,5k,Women
4,24,Marion Jepngetic,15:35.14,2,4,-2,5k,Women
5,21,Grace Hartma,15:35.39,3,5,-2,5k,Women
6,22,Paityn No,15:35.81,6,6,0,5k,Women
7,8,Agnes Mctigh,15:35.87,13,7,6,5k,Women
8,19,Amina Maatou,15:35.93,12,8,4,5k,Women
9,14,Silvia Jelelg,15:36.34,10,9,1,5k,Women
10,9,Alex Millar,15:37.22,5,10,-5,5k,Women
11,2,Jenna Hutchin,15:40.87,4,11,-7,5k,Women
