event,gender,category,place,name,school,school_abbr,year,result,points,is_relay
100M,M,sprint,1.0,Jordan Anthony,Arkansas,ARK,SO,10.07,10,False
100M,M,sprint,2.0,Max Thomas,USC,USC,JR,10.10(10.091),8,False
100M,M,sprint,3.0,Jelani Watkins,LSU,LSU,FR,10.10(10.092),6,False
100M,M,sprint,4.0,Kanyinsola Ajayi,Auburn,AUB,SO,10.13,5,False
100M,M,sprint,5.0,Davonte Howell,Tennessee,TENN,SO,10.17(10.166),4,False
100M,M,sprint,6.0,Jaiden Reid,LSU,LSU,SO,10.17(10.170),3,False
100M,M,sprint,7.0,Israel Okon,Auburn,AUB,FR,10.18,2,False
100M,M,sprint,8.0,T'Mars McCallum,Tennessee,TENN,JR,10.24,1,False
100M,M,sprint,9.0,Eddie Nketia,USC,USC,SO,10.30,0,False
200M,M,sprint,1.0,Carli Makarawu,Kentucky,UK,JR,19.84,10,False
200M,M,sprint,2.0,Makanakaishe Charamba,Auburn,AUB,SR,19.92,8,False
200M,M,sprint,3.0,Garrett Kaalund,USC,USC,JR,19.96,6,False
200M,M,sprint,4.0,Jordan Anthony,Arkansas,ARK,SO,20.01,5,False
200M,M,sprint,5.0,T'Mars McCallum,Tennessee,TENN,JR,20.16,4,False
200M,M,sprint,6.0,Max Thomas,USC,USC,JR,20.23,3,False
200M,M,sprint,7.0,Xavier Butler,Texas,TEX,SO,20.39,2,False
200M,M,sprint,8.0,Abdul-Rasheed Saminu,South Florida,USF,SR,20.55,1,False
200M,M,sprint,9.0,Cameron Miller,Purdue,PURD,JR,20.56,0,False
400M,M,sprint,1.0,Samuel Ogazi,Alabama,BAMA,SO,44.84,10,False
400M,M,sprint,2.0,William Jones,USC,USC,JR,45.53,8,False
400M,M,sprint,3.0,Jordan Pierre,Arkansas-Pine Bluff,UAPB,SO,45.75,6,False
400M,M,sprint,4.0,DeSean Boyce,Texas Tech,TTU,JR,45.78,5,False
400M,M,sprint,5.0,Joseph Taylor,Duke,DUKE,FR,45.83,4,False
400M,M,sprint,6.0,Jayden Davis,Arizona State,AZST,SO,45.91,3,False
400M,M,sprint,7.0,Auhmad Robinson,Texas A&M,TAMU,SR,46.07,2,False
400M,M,sprint,8.0,Gabriel Clement II,UCLA,UCLA,SO,46.17,1,False
400M,M,sprint,,Gabriel Moronta,South Florida,USF,SR,DQR: 15.5-2b ⓘ,0,False
800M,M,mid_distance,1.0,Sam Whitmarsh,Texas A&M,TAMU,SR,1:45.86,10,False
800M,M,mid_distance,2.0,Matthew Erickson,Oregon,UO,SR,1:46.32,8,False
800M,M,mid_distance,3.0,Rivaldo Marshall,Arkansas,ARK,SR,1:46.71,6,False
800M,M,mid_distance,4.0,Samuel Rodman,Princeton,PRIN,SR,1:46.86,5,False
800M,M,mid_distance,5.0,Aidan McCarthy,Cal Poly,POLY,JR,1:46.88,4,False
800M,M,mid_distance,6.0,Samuel Navarro,Miss State,MSST,SR,1:47.33,3,False
800M,M,mid_distance,7.0,Christian Jackson,Virginia Tech,VT,JR,1:47.42,2,False
800M,M,mid_distance,8.0,Tyrice Taylor,Arkansas,ARK,JR,1:47.44,1,False
800M,M,mid_distance,9.0,Koitatoi Kidali,Oregon,UO,FR,1:52.10,0,False
1500M,M,mid_distance,1.0,Nathan Green,Washington,WASH,JR,3:47.26,10,False
1500M,M,mid_distance,2.0,Ethan Strand,North Carolina,UNC,JR,3:47.33,8,False
1500M,M,mid_distance,3.0,Ferenc Kovacs,Harvard,HARV,SO,3:47.42,6,False
1500M,M,mid_distance,4.0,Adam Spencer,Wisconsin,WISC,SR,3:47.50,5,False
1500M,M,mid_distance,5.0,Gary Martin,Virginia,UVA,JR,3:47.58,4,False
1500M,M,mid_distance,6.0,Jack Crull,Bradley,BRAD,SR,3:47.61,3,False
1500M,M,mid_distance,7.0,Simeon Birnbaum,Oregon,UO,SO,3:47.64,2,False
1500M,M,mid_distance,8.0,Damian Hackett,Cornell,CORN,SR,3:47.74,1,False
1500M,M,mid_distance,9.0,Brendan Herger,Michigan,MICH,FR,3:47.88,0,False
1500M,M,mid_distance,10.0,Harrison Witt,Princeton,PRIN,SR,3:47.92,0,False
1500M,M,mid_distance,11.0,Trent McFarland,Michigan,MICH,SO,3:47.94,0,False
1500M,M,mid_distance,12.0,Martin Segurola,Indiana,IU,JR,3:48.71,0,False
3000SC,M,distance,1.0,James Corrigan,BYU,BYU,JR,8:16.41,10,False
3000SC,M,distance,2.0,Geoffrey Kirwa,Louisville,LOU,FR,8:17.12,8,False
3000SC,M,distance,3.0,Carson Williams,Furman,FURM,SR,8:19.71,6,False
3000SC,M,distance,4.0,Joash Ruto,Iowa State,IAST,FR,8:20.47,5,False
3000SC,M,distance,5.0,Collins Kiprop Kipngok,Kentucky,UK,FR,8:22.92,4,False
3000SC,M,distance,6.0,Mathew Kosgei,New Mexico,UNM,FR,8:23.70,3,False
3000SC,M,distance,7.0,Benjamin Balazs,Oregon,UO,SO,8:24.46,2,False
3000SC,M,distance,8.0,Rob McManus,Montana State,MTST,JR,8:25.83,1,False
3000SC,M,distance,9.0,CJ Singleton,Notre Dame,ND,JR,8:28.93,0,False
3000SC,M,distance,10.0,Silas Kiptanui,Tulane,TUL,SO,8:32.20,0,False
3000SC,M,distance,11.0,Victor Kibiego,Texas A&M,TAMU,JR,8:32.33,0,False
3000SC,M,distance,12.0,Kristian Imroth,Eastern Kentucky,EKU,JR,8:49.06,0,False
5000M,M,distance,1.0,Brian Musau,Oklahoma State,OKST,SO,13:20.59,10,False
5000M,M,distance,2.0,Habtom Samuel,New Mexico,UNM,SO,13:20.89,8,False
5000M,M,distance,3.0,Marco Langon,Villanova,NOVA,JR,13:21.17,6,False
5000M,M,distance,4.0,Valentin Soca,CBU,CBU,JR,13:21.76,5,False
5000M,M,distance,5.0,Rocky Hansen,Wake Forest,WAKE,SO,13:22.47,4,False
5000M,M,distance,6.0,Matt Strangio,Portland,PORT,SR,13:23.28,3,False
5000M,M,distance,7.0,Ishmael Kipkurui,New Mexico,UNM,FR,13:25.18,2,False
5000M,M,distance,8.0,Fouad Messaoudi,Oklahoma State,OKST,SR,13:25.48,1,False
5000M,M,distance,9.0,Toby Gillen,Ole Miss,MISS,SR,13:26.74,0,False
5000M,M,distance,10.0,David Mullarkey,Northern Arizona,NAU,SR,13:28.43,0,False
5000M,M,distance,11.0,Robin Kwemoi Bera,Iowa State,IAST,FR,13:30.52,0,False
5000M,M,distance,12.0,Colton Sands,North Carolina,UNC,SR,13:36.26,0,False
5000M,M,distance,13.0,Will Daley,Virginia,UVA,JR,13:36.55,0,False
5000M,M,distance,14.0,Luke Tewalt,Wake Forest,WAKE,SR,13:37.47,0,False
5000M,M,distance,15.0,Jacob White,Wyoming,WYO,JR,13:37.82,0,False
5000M,M,distance,16.0,Ernest Cheruiyot,Texas Tech,TTU,SO,13:38.09,0,False
5000M,M,distance,17.0,Drew Bosley,Northern Arizona,NAU,SR,13:39.04,0,False
5000M,M,distance,18.0,JoJo Jourdon,Wake Forest,WAKE,FR,13:41.00,0,False
5000M,M,distance,19.0,Ethan Strand,North Carolina,UNC,JR,13:42.20,0,False
5000M,M,distance,20.0,Matthew Forrester,Butler,BUTL,JR,13:43.85,0,False
5000M,M,distance,21.0,Kidus Misgina,Ole Miss,MISS,SR,13:49.21,0,False
5000M,M,distance,22.0,Hunter Christopher,Youngstown St.,YSU,SR,13:49.43,0,False
5000M,M,distance,23.0,Luke Grundvig,BYU,BYU,JR,13:54.70,0,False
5000M,M,distance,24.0,Justin Wachtel,Virginia,UVA,JR,14:11.51,0,False
10000M,M,distance,1.0,Ishmael Kipkurui,New Mexico,UNM,FR,29:07.70,10,False
10000M,M,distance,2.0,Habtom Samuel,New Mexico,UNM,SO,29:08.73,8,False
10000M,M,distance,3.0,Ernest Cheruiyot,Texas Tech,TTU,SO,29:10.37,6,False
10000M,M,distance,4.0,Rodgers Kiplimo,Iowa State,IAST,JR,29:10.89,5,False
