bib,country,athlete,pb,sb,WRK
1027,ARG,Joaquin ARBE,2:11:02,-,318
1029,ARG,Eulalio MUNOZ,2:09:59,-,241
1075,AUS,Liam ADAMS,2:10:48,-,222
1094,AUS,Jack RAYNER,2:11:06,-,422
1096,AUS,Brett ROBINSON,2:10:55,-,248
1113,AUT,Peter HERZOG,2:10:06,-,480
1114,AUT,Lemawork KETEMA,2:10:44,-,364
1164,BDI,Olivier IRABARUTA,2:09:48,-,388
1188,BEL,Bashir ABDI,2:04:49,-,16
1197,BEL,Dieter KERSTEN,2:10:22,2:10:22,525
1199,BEL,Koen NAERT,2:07:39,-,61
1314,BRA,Daniel Chaves DA SILVA,2:11:10,-,498
1315,BRA,Paulo Roberto PAULA,2:10:08,-,462
1316,BRA,Daniel DO NASCIMENTO,2:09:05,2:09:05,651
1350,BRN,Alemu BEKELE,2:06:02,-,82
1351,BRN,Shumi DECHASA,2:06:43,2:06:59,154
1352,BRN,El Hassan EL ABBASSI,2:04:43,-,21
1428,CAN,Trevor HOFBAUER,2:09:51,-,472
1432,CAN,Cameron LEVINS,2:09:25,2:10:14,392
1437,CAN,Ben PREISNER,2:10:17,-,563
1493,CHN,Guojian DONG,2:08:28,2:11:20,115
1498,CHN,Jianhua PENG,2:09:57,2:11:16,205
1510,CHN,Shaohui YANG,2:11:19,2:11:19,348
1542,COL,Ivan Dario GONZALEZ,2:11:07,-,674
1550,COL,Jeison Alexander SUAREZ,2:10:51,2:10:51,553
1666,DEN,Thijs NIJHUIS,2:10:57,-,404
1668,DEN,Adbi Hakin ULAD,2:11:03,-,473
1731,ART,Tachlowini GABRIYESOS,2:10:55,2:10:55,510
1746,ERI,Yohanes GHEBREGERGIS,2:06:28,2:06:28,131
1749,ERI,Goitom KIFLE,2:08:07,2:08:07,126
1750,ERI,Oqbe Kibrom RUESOM,2:05:53,-,159
1795,ESP,Javier GUERRA,2:07:27,-,130
1799,ESP,Ayad LAMDASSEM,2:06:35,-,214
1803,ESP,Daniel MATEO,2:08:22,-,227
1823,EST,Roman FOSTI,2:10:46,2:10:46,451
1825,EST,Tiidrek NURME,2:10:02,-,396
1863,ETH,Lelisa DESISA,2:04:45,-,10
1868,ETH,Shura KITATA,2:04:49,-,71
1870,ETH,Sisay LEMMA,2:03:36,-,6
1939,FRA,Morhad AMDOUNI,2:09:14,-,-
1948,FRA,Hassan CHAHDI,2:09:15,-,233
1970,FRA,Nicolas NAVARRO,2:09:17,-,297
2041,GBR,Ben CONNOR,2:11:20,2:12:06,381
2048,GBR,Callum HAWKINS,2:08:14,-,73
2067,GBR,Chris THOMPSON,2:10:52,2:10:52,295
2170,GER,Amanal PETROS,2:07:18,-,252
2171,GER,Hendrik PFEIFFER,2:10:18,-,444
2176,GER,Richard RINGER,2:08:49,2:08:49,307
2262,HON,Iván ZARCO,2:18:19,-,1404
