bib,country,athlete,pb,sb,WRK
1788,ETH,Megertu ALEMU,2:16:34,2:16:34,7
1790,ETH,Tigst ASSEFA,2:11:53,2:16:23,1
1654,CHN,Li BAI,2:26:33,2:28:17,143
2161,MGL,Munkhzaya BAYARTSOGT,2:24:45,2:24:45,133
2335,SUI,Helen BEKELE,2:19:44,2:25:25,45
1696,CRO,Bojana BJELJAC,2:23:39,-,464
1505,ARG,Florencia BORELLI,2:24:18,2:24:18,127
1737,ECU,Rosa Alva CHACHA,2:26:34,2:28:01,274
2394,UGA,Mercyline CHELANGAT,2:24:12,-,236
1610,BRN,Rose CHELIMO,2:23:12,2:28:55,155
2397,UGA,Rebecca CHEPTEGEI,2:22:47,2:34:08,245
2398,UGA,Stella CHESANG,2:20:23,2:23:36,52
1611,BRN,Eunice Chebichii CHUMBA,2:20:02,2:21:25,18
2156,MEX,Citlali CRISTIAN MOSCOTE,2:24:53,-,109
1522,AUS,Sinead DIVER,2:21:34,-,297
1624,CAN,Malindi ELMORE,2:23:30,-,164
2019,ITA,Giovanna EPIS,2:23:46,2:28:24,168
1869,GBR,Clara EVANS,2:25:04,-,272
2147,MAR,Kaoutar FARKOUSSI,2:25:35,2:25:35,230
2225,NZL,Camille FRENCH,2:26:08,2:28:23,199
2162,MGL,Khishigsaikhan GALBADRAKH,2:26:32,2:26:32,142
2148,MAR,Fatima Ezzahra GARDADI,2:24:12,2:24:12,13
1613,BRN,Tigist GASHAW,2:24:39,2:24:39,232
1738,ECU,Mary Zenaida GRANJA,2:26:34,2:26:34,316
1526,AUS,Genevieve GREGSON,2:23:08,-,86
1871,GBR,Rose HARVEY,2:23:21,-,180
270,NED,Sifan HASSAN,2:13:44,2:18:05,2
1872,GBR,Calli HAUGER-THACKERY,2:22:17,-,171
1571,BEL,Chloé HERBIET,2:24:56,2:24:56,177
2158,MEX,Margarita HERNANDEZ FLORES,2:25:54,-,430
1912,GER,Laura HOTTENROTT,2:24:32,-,271
1714,CZE,Tereza HROCHOVÁ,2:26:38,2:26:38,348
2086,JPN,Mao ICHIYAMA,2:20:29,-,252
2109,KEN,Peres JEPCHIRCHIR,2:16:16,2:16:16,4
2167,NAM,Helalia JOHANNES,2:19:52,2:30:53,420
1834,FRA,Mélody JULIEN,2:25:01,-,237
1917,GER,Melat Yisak KEJETA,2:21:47,2:21:47,122
1589,BHU,Kinzang LHAMO,-,-,-
2450,USA,Dakotah LINDWURM,2:24:40,2:25:31,138
2257,POL,Aleksandra LISOWSKA,2:25:52,-,192
2114,KEN,Sharon LOKEDI,2:23:23,-,40
2177,NED,Anne LUIJTEN,2:26:36,2:28:47,159
1764,ESP,Majida MAAYOUF,2:21:01,-,170
2260,POL,Angelika MACH,2:26:19,-,288
2135,LES,Mokulubete Blandina MAKATISI,2:30:54,2:30:54,409
2099,KAZ,Zhanna MAMAZHANOVA,2:26:42,2:26:42,482
1927,GER,Domenika MAYER,2:23:47,2:23:50,112
1555,AUT,Julia MAYER,2:26:43,2:31:25,250
1997,IRL,Fionnuala MCCORMACK,2:23:58,-,333
2297,ROU,Joan Chelimo MELLY,2:18:04,-,145
2298,ROU,Delvine Relin MERINGOR,2:20:49,2:26:09,55
