School,Number of Regional Entries,Number of National Qualifiers,Number of Outperformers,Distinct Events,Percent Qualifying,Percent Outperforming,Percent Events Represented,Number of Regional Entries (Scaled),Overall Score
New Mexico,13,5,6,3,0.38461538461538464,0.46153846153846156,1.0,0.9999999999999999,0.7115384615384616
No. Arizona,11,4,6,3,0.36363636363636365,0.5454545454545454,1.0,0.8333333333333333,0.6856060606060606
Wake Forest,5,3,4,3,0.6,0.8,1.0,0.3333333333333333,0.6833333333333333
Tulane,5,2,4,3,0.4,0.8,1.0,0.3333333333333333,0.6333333333333333
Wyoming,3,2,3,2,0.6666666666666666,1.0,0.6666666666666666,0.16666666666666669,0.625
IA State,7,4,3,3,0.5714285714285714,0.42857142857142855,1.0,0.49999999999999994,0.625
TX Tech,4,3,2,3,0.75,0.5,1.0,0.25,0.625
BYU,8,4,3,3,0.5,0.375,1.0,0.5833333333333333,0.6145833333333333
Harvard,8,2,5,3,0.25,0.625,1.0,0.5833333333333333,0.6145833333333333
Alabama,6,4,2,3,0.6666666666666666,0.3333333333333333,1.0,0.4166666666666667,0.6041666666666666
Navy,1,1,1,1,1.0,1.0,0.3333333333333333,0.0,0.5833333333333334
Army West Point,1,1,1,1,1.0,1.0,0.3333333333333333,0.0,0.5833333333333334
TX A&M,1,1,1,1,1.0,1.0,0.3333333333333333,0.0,0.5833333333333334
CBU,5,1,4,3,0.2,0.8,1.0,0.3333333333333333,0.5833333333333334
Oregon,8,1,5,3,0.125,0.625,1.0,0.5833333333333333,0.5833333333333333
E. Kentucky,2,1,2,2,0.5,1.0,0.6666666666666666,0.08333333333333333,0.5625
Youngstown St.,2,1,2,2,0.5,1.0,0.6666666666666666,0.08333333333333333,0.5625
Notre Dame,9,2,3,3,0.2222222222222222,0.3333333333333333,1.0,0.6666666666666666,0.5555555555555556
Syracuse,5,1,5,2,0.2,1.0,0.6666666666666666,0.3333333333333333,0.5499999999999999
Furman,4,2,3,2,0.5,0.75,0.6666666666666666,0.25,0.5416666666666666
Kentucky,3,1,3,2,0.3333333333333333,1.0,0.6666666666666666,0.16666666666666669,0.5416666666666666
OK State,6,3,3,2,0.5,0.5,0.6666666666666666,0.4166666666666667,0.5208333333333334
Washington,8,0,4,3,0.0,0.5,1.0,0.5833333333333333,0.5208333333333333
Michigan,7,0,4,3,0.0,0.5714285714285714,1.0,0.49999999999999994,0.5178571428571428
Portland,5,1,2,3,0.2,0.4,1.0,0.3333333333333333,0.48333333333333334
Penn State,4,0,4,2,0.0,1.0,0.6666666666666666,0.25,0.47916666666666663
Arkansas,3,1,1,3,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666669,0.4583333333333333
Mich State,3,1,2,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.16666666666666669,0.45833333333333326
Penn,3,1,2,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.16666666666666669,0.45833333333333326
Virginia,5,2,2,2,0.4,0.4,0.6666666666666666,0.3333333333333333,0.44999999999999996
Wash State,4,1,1,3,0.25,0.25,1.0,0.25,0.4375
Oklahoma,2,0,2,2,0.0,1.0,0.6666666666666666,0.08333333333333333,0.4375
Wisconsin,6,0,4,2,0.0,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.4375
Colorado,2,1,1,2,0.5,0.5,0.6666666666666666,0.08333333333333333,0.4375
Yale,2,0,2,2,0.0,1.0,0.6666666666666666,0.08333333333333333,0.4375
Butler,4,2,1,2,0.5,0.25,0.6666666666666666,0.25,0.41666666666666663
Stanford,8,1,2,2,0.125,0.25,0.6666666666666666,0.5833333333333333,0.40625
Ole Miss,5,2,1,2,0.4,0.2,0.6666666666666666,0.3333333333333333,0.4
Gonzaga,5,0,1,3,0.0,0.2,1.0,0.3333333333333333,0.3833333333333333
VA Tech,4,1,0,3,0.25,0.0,1.0,0.25,0.375
Iowa,2,0,2,1,0.0,1.0,0.3333333333333333,0.08333333333333333,0.35416666666666663
Purdue,4,0,2,2,0.0,0.5,0.6666666666666666,0.25,0.35416666666666663
Ohio State,1,0,1,1,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333
UMass Lowell,1,0,1,1,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333
Tennessee,1,0,1,1,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333
Villanova,4,1,2,1,0.25,0.5,0.3333333333333333,0.25,0.3333333333333333
Tulsa,1,0,1,1,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333
UC Irvine,1,0,1,1,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333
UC Santa Barbara,1,0,1,1,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333
UCLA,1,0,1,1,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333
SD State,1,1,0,1,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333
NC State,1,1,0,1,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333
Akron,1,1,0,1,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333
KS State,1,0,1,1,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333
Ark State,1,0,1,1,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333
Boston College,1,0,1,1,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333
Cen Arkansas,1,0,1,1,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333
Cornell,1,0,1,1,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333
Dartmouth,1,0,1,1,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333
