School,Number of Regional Entries,Number of National Qualifiers,Number of Outperformers,Distinct Events,Percent Qualifying,Percent Outperforming,Percent Events Represented,Number of Regional Entries (Scaled),Overall Score
No. Arizona,20,7,13,6,0.35,0.65,1.0,0.9047619047619047,0.7261904761904762
New Mexico,22,9,8,6,0.4090909090909091,0.36363636363636365,1.0,0.9999999999999998,0.6931818181818181
Washington,13,3,9,6,0.23076923076923078,0.6923076923076923,1.0,0.5714285714285714,0.6236263736263736
BYU,16,7,5,6,0.4375,0.3125,1.0,0.7142857142857142,0.6160714285714286
TX A&M,6,3,6,4,0.5,1.0,0.6666666666666666,0.23809523809523808,0.6011904761904762
Arkansas,8,4,4,6,0.5,0.5,1.0,0.3333333333333333,0.5833333333333333
OK State,12,5,8,4,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.5238095238095237,0.5684523809523809
Penn State,10,3,7,5,0.3,0.7,0.8333333333333334,0.42857142857142855,0.5654761904761905
IA State,10,5,5,5,0.5,0.5,0.8333333333333334,0.42857142857142855,0.5654761904761905
Alabama,9,6,3,5,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.38095238095238093,0.5535714285714285
LSU,1,1,1,1,1.0,1.0,0.16666666666666666,0.0,0.5416666666666666
New Hampshire,1,1,1,1,1.0,1.0,0.16666666666666666,0.0,0.5416666666666666
Baylor,1,1,1,1,1.0,1.0,0.16666666666666666,0.0,0.5416666666666666
Kansas,1,1,1,1,1.0,1.0,0.16666666666666666,0.0,0.5416666666666666
TX Tech,7,3,3,6,0.42857142857142855,0.42857142857142855,1.0,0.2857142857142857,0.5357142857142857
Notre Dame,17,2,7,5,0.11764705882352941,0.4117647058823529,0.8333333333333334,0.7619047619047619,0.5311624649859944
Tulane,7,2,5,5,0.2857142857142857,0.7142857142857143,0.8333333333333334,0.2857142857142857,0.5297619047619048
Mich State,7,3,4,5,0.42857142857142855,0.5714285714285714,0.8333333333333334,0.2857142857142857,0.5297619047619048
Gonzaga,11,2,5,6,0.18181818181818182,0.45454545454545453,1.0,0.4761904761904761,0.5281385281385281
Harvard,12,3,6,5,0.25,0.5,0.8333333333333334,0.5238095238095237,0.5267857142857143
