School,Number of Regional Entries,Number of National Qualifiers,Number of Outperformers,Distinct Events,Percent Qualifying,Percent Outperforming,Percent Events Represented,Number of Regional Entries (Scaled),Overall Score
No. Arizona,9,3,7,3,0.3333333333333333,0.7777777777777778,1.0,1.0,0.7777777777777778
Washington,5,3,5,3,0.6,1.0,1.0,0.5,0.775
TX A&M,5,2,5,3,0.4,1.0,1.0,0.5,0.725
Arkansas,5,3,3,3,0.6,0.6,1.0,0.5,0.675
New Mexico,9,4,2,3,0.4444444444444444,0.2222222222222222,1.0,1.0,0.6666666666666666
Penn State,6,3,3,3,0.5,0.5,1.0,0.625,0.65625
Gonzaga,6,2,4,3,0.3333333333333333,0.6666666666666666,1.0,0.625,0.65625
Utah,7,2,4,3,0.2857142857142857,0.5714285714285714,1.0,0.75,0.6517857142857142
BYU,8,3,2,3,0.375,0.25,1.0,0.875,0.625
NC State,6,4,1,3,0.6666666666666666,0.16666666666666666,1.0,0.625,0.6145833333333333
OK State,6,2,5,2,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.625,0.6145833333333333
Georgetown,4,2,2,3,0.5,0.5,1.0,0.375,0.59375
Mich State,4,2,2,3,0.5,0.5,1.0,0.375,0.59375
Virginia,5,2,4,2,0.4,0.8,0.6666666666666666,0.5,0.5916666666666667
LSU,1,1,1,1,1.0,1.0,0.3333333333333333,0.0,0.5833333333333334
Kansas,1,1,1,1,1.0,1.0,0.3333333333333333,0.0,0.5833333333333334
Baylor,1,1,1,1,1.0,1.0,0.3333333333333333,0.0,0.5833333333333334
New Hampshire,1,1,1,1,1.0,1.0,0.3333333333333333,0.0,0.5833333333333334
Boston U.,1,1,1,1,1.0,1.0,0.3333333333333333,0.0,0.5833333333333334
Villanova,2,2,1,2,1.0,0.5,0.6666666666666666,0.125,0.5729166666666666
GA Tech,3,0,3,3,0.0,1.0,1.0,0.25,0.5625
West Virginia,4,2,1,3,0.5,0.25,1.0,0.375,0.53125
Liberty,4,0,3,3,0.0,0.75,1.0,0.375,0.53125
North Carolina,4,1,2,3,0.25,0.5,1.0,0.375,0.53125
UT State,5,1,2,3,0.2,0.4,1.0,0.5,0.525
E. Kentucky,5,2,1,3,0.4,0.2,1.0,0.5,0.525
Notre Dame,8,0,4,2,0.0,0.5,0.6666666666666666,0.875,0.5104166666666666
