,event,year,n_top_performances,n_top_athletes
0,m_100,2024,1,1
1,m_100,2023,0,0
2,m_100,2022,2,1
3,m_100,2021,3,2
4,m_100,2020,0,0
5,m_100,2019,1,1
6,m_100,2018,0,0
7,m_100,2017,0,0
8,m_100,2016,0,0
9,m_100,2015,4,1
10,m_100,2014,1,1
11,m_100,2013,1,1
12,m_100,2012,6,2
13,m_100,2011,4,4
14,m_100,2010,5,4
15,m_100,2009,7,3
16,m_100,2008,11,3
17,m_100,2007,6,2
18,m_100,2006,8,3
19,m_100,2005,3,1
20,m_100,2004,4,4
21,m_100,2003,0,0
22,m_100,2002,1,1
23,m_100,2001,2,2
24,m_100,2000,2,1
25,w_100,2024,0,0
26,w_100,2023,3,2
27,w_100,2022,8,1
28,w_100,2021,8,2
29,w_100,2020,0,0
30,w_100,2019,3,2
31,w_100,2018,0,0
32,w_100,2017,1,1
33,w_100,2016,4,2
34,w_100,2015,1,1
35,w_100,2014,0,0
36,w_100,2013,2,1
37,w_100,2012,2,1
38,w_100,2011,2,2
39,w_100,2010,0,0
40,w_100,2009,5,3
41,w_100,2008,2,2
42,w_100,2007,0,0
43,w_100,2006,0,0
44,w_100,2005,0,0
45,w_100,2004,1,1
46,w_100,2003,0,0
47,w_100,2002,0,0
48,w_100,2001,0,0
49,w_100,2000,1,1
50,m_110H,2024,3,2
51,m_110H,2023,1,1
52,m_110H,2022,1,1
53,m_110H,2021,1,1
54,m_110H,2020,0,0
55,m_110H,2019,0,0
56,m_110H,2018,1,1
57,m_110H,2017,1,1
58,m_110H,2016,0,0
59,m_110H,2015,0,0
60,m_110H,2014,0,0
61,m_110H,2013,0,0
62,m_110H,2012,5,1
63,m_110H,2011,1,1
64,m_110H,2010,4,1
65,m_110H,2009,0,0
66,m_110H,2008,8,2
67,m_110H,2007,4,3
68,m_110H,2006,4,3
69,m_110H,2005,3,2
70,m_110H,2004,1,1
71,m_110H,2003,1,1
72,m_110H,2002,0,0
73,m_110H,2001,0,0
74,m_110H,2000,2,2
75,w_100H,2024,4,4
76,w_100H,2023,4,3
77,w_100H,2022,7,4
78,w_100H,2021,3,1
79,w_100H,2020,0,0
80,w_100H,2019,2,2
81,w_100H,2018,1,1
82,w_100H,2017,1,1
83,w_100H,2016,4,2
84,w_100H,2015,3,2
85,w_100H,2014,0,0
86,w_100H,2013,1,1
87,w_100H,2012,2,2
88,w_100H,2011,2,1
89,w_100H,2010,0,0
90,w_100H,2009,0,0
91,w_100H,2008,0,0
92,w_100H,2007,0,0
93,w_100H,2006,0,0
94,w_100H,2005,0,0
95,w_100H,2004,1,1
96,w_100H,2003,0,0
97,w_100H,2002,0,0
98,w_100H,2001,0,0
99,w_100H,2000,2,1
100,m_200,2024,1,1
101,m_200,2023,3,2
102,m_200,2022,7,2
103,m_200,2021,2,2
104,m_200,2020,0,0
105,m_200,2019,2,1
106,m_200,2018,2,1
107,m_200,2017,0,0
108,m_200,2016,0,0
109,m_200,2015,3,2
110,m_200,2014,1,1
111,m_200,2013,1,1
112,m_200,2012,5,2
113,m_200,2011,4,3
114,m_200,2010,3,3
115,m_200,2009,5,2
116,m_200,2008,4,1
117,m_200,2007,5,3
118,m_200,2006,5,3
119,m_200,2005,0,0
120,m_200,2004,1,1
121,m_200,2003,0,0
122,m_200,2002,2,2
123,m_200,2001,0,0
124,m_200,2000,2,2
125,w_200,2024,0,0
126,w_200,2023,5,2
127,w_200,2022,3,1
128,w_200,2021,3,2
129,w_200,2020,0,0
130,w_200,2019,1,1
131,w_200,2018,0,0
132,w_200,2017,1,1
133,w_200,2016,0,0
134,w_200,2015,2,2
135,w_200,2014,0,0
136,w_200,2013,0,0
137,w_200,2012,1,1
138,w_200,2011,0,0
139,w_200,2010,0,0
140,w_200,2009,0,0
141,w_200,2008,1,1
142,w_200,2007,0,0
143,w_200,2006,0,0
144,w_200,2005,0,0
145,w_200,2004,0,0
146,w_200,2003,0,0
147,w_200,2002,0,0
148,w_200,2001,0,0
149,w_200,2000,0,0
150,m_400,2024,0,0
151,m_400,2023,0,0
152,m_400,2022,3,2
153,m_400,2021,0,0
154,m_400,2020,0,0
155,m_400,2019,3,3
156,m_400,2018,1,1
157,m_400,2017,3,2
158,m_400,2016,2,2
159,m_400,2015,4,4
160,m_400,2014,1,1
161,m_400,2013,1,1
162,m_400,2012,0,0
163,m_400,2011,0,0
164,m_400,2010,0,0
165,m_400,2009,0,0
166,m_400,2008,3,2
167,m_400,2007,2,1
168,m_400,2006,2,1
169,m_400,2005,0,0
170,m_400,2004,0,0
171,m_400,2003,0,0
172,m_400,2002,0,0
173,m_400,2001,0,0
174,m_400,2000,3,1
175,w_400,2024,2,2
176,w_400,2023,2,2
177,w_400,2022,0,0
178,w_400,2021,2,2
179,w_400,2020,0,0
180,w_400,2019,2,2
181,w_400,2018,0,0
182,w_400,2017,0,0
183,w_400,2016,0,0
184,w_400,2015,0,0
185,w_400,2014,0,0
186,w_400,2013,0,0
187,w_400,2012,0,0
188,w_400,2011,0,0
189,w_400,2010,0,0
190,w_400,2009,1,1
191,w_400,2008,0,0
192,w_400,2007,0,0
193,w_400,2006,1,1
194,w_400,2005,0,0
195,w_400,2004,0,0
196,w_400,2003,0,0
197,w_400,2002,0,0
198,w_400,2001,0,0
199,w_400,2000,0,0
200,m_400H,2024,7,3
201,m_400H,2023,7,2
202,m_400H,2022,6,3
203,m_400H,2021,9,5
204,m_400H,2020,4,1
205,m_400H,2019,7,3
206,m_400H,2018,3,2
207,m_400H,2017,0,0
208,m_400H,2016,0,0
209,m_400H,2015,0,0
210,m_400H,2014,0,0
211,m_400H,2013,0,0
212,m_400H,2012,0,0
213,m_400H,2011,0,0
214,m_400H,2010,1,1
215,m_400H,2009,0,0
216,m_400H,2008,1,1
217,m_400H,2007,0,0
218,m_400H,2006,1,1
219,m_400H,2005,2,2
220,m_400H,2004,0,0
221,m_400H,2003,1,1
222,m_400H,2002,1,1
223,m_400H,2001,1,1
224,m_400H,2000,0,0
225,w_400H,2024,3,2
226,w_400H,2023,6,1
227,w_400H,2022,8,2
228,w_400H,2021,8,4
229,w_400H,2020,0,0
230,w_400H,2019,3,2
231,w_400H,2018,1,1
232,w_400H,2017,2,2
233,w_400H,2016,1,1
234,w_400H,2015,0,0
235,w_400H,2014,0,0
236,w_400H,2013,1,1
237,w_400H,2012,1,1
238,w_400H,2011,3,3
239,w_400H,2010,2,2
240,w_400H,2009,3,2
241,w_400H,2008,1,1
242,w_400H,2007,0,0
243,w_400H,2006,1,1
244,w_400H,2005,3,1
245,w_400H,2004,3,2
246,w_400H,2003,1,1
247,w_400H,2002,1,1
248,w_400H,2001,0,0
249,w_400H,2000,1,1
250,m_800,2024,8,6
251,m_800,2023,0,0
252,m_800,2022,0,0
253,m_800,2021,0,0
254,m_800,2020,0,0
255,m_800,2019,1,1
256,m_800,2018,2,2
257,m_800,2017,0,0
258,m_800,2016,1,1
259,m_800,2015,0,0
260,m_800,2014,0,0
261,m_800,2013,0,0
262,m_800,2012,5,2
263,m_800,2011,1,1
264,m_800,2010,5,2
265,m_800,2009,1,1
266,m_800,2008,0,0
267,m_800,2007,0,0
268,m_800,2006,0,0
269,m_800,2005,0,0
270,m_800,2004,0,0
271,m_800,2003,1,1
272,m_800,2002,2,2
273,m_800,2001,2,2
274,m_800,2000,0,0
275,w_800,2024,1,1
276,w_800,2023,2,2
277,w_800,2022,0,0
278,w_800,2021,2,1
279,w_800,2020,0,0
280,w_800,2019,1,1
281,w_800,2018,4,1
282,w_800,2017,2,1
283,w_800,2016,2,1
284,w_800,2015,0,0
285,w_800,2014,0,0
286,w_800,2013,0,0
287,w_800,2012,0,0
288,w_800,2011,0,0
289,w_800,2010,0,0
290,w_800,2009,0,0
291,w_800,2008,6,1
292,w_800,2007,0,0
293,w_800,2006,0,0
294,w_800,2005,0,0
295,w_800,2004,0,0
296,w_800,2003,1,1
297,w_800,2002,1,1
298,w_800,2001,0,0
299,w_800,2000,0,0
300,m_1500,2024,1,1
301,m_1500,2023,2,1
302,m_1500,2022,0,0
303,m_1500,2021,2,2
304,m_1500,2020,1,1
305,m_1500,2019,0,0
306,m_1500,2018,1,1
307,m_1500,2017,0,0
308,m_1500,2016,0,0
309,m_1500,2015,1,1
310,m_1500,2014,2,2
311,m_1500,2013,1,1
312,m_1500,2012,0,0
313,m_1500,2011,0,0
314,m_1500,2010,0,0
315,m_1500,2009,0,0
316,m_1500,2008,0,0
317,m_1500,2007,0,0
318,m_1500,2006,0,0
319,m_1500,2005,0,0
320,m_1500,2004,2,2
321,m_1500,2003,1,1
322,m_1500,2002,4,2
323,m_1500,2001,4,2
324,m_1500,2000,3,3
325,w_1500,2024,6,6
326,w_1500,2023,5,3
327,w_1500,2022,4,2
328,w_1500,2021,8,4
329,w_1500,2020,0,0
330,w_1500,2019,6,5
331,w_1500,2018,0,0
332,w_1500,2017,0,0
333,w_1500,2016,1,1
334,w_1500,2015,3,2
335,w_1500,2014,0,0
336,w_1500,2013,0,0
337,w_1500,2012,0,0
338,w_1500,2011,0,0
339,w_1500,2010,0,0
340,w_1500,2009,0,0
341,w_1500,2008,0,0
342,w_1500,2007,0,0
343,w_1500,2006,2,2
344,w_1500,2005,0,0
345,w_1500,2004,0,0
346,w_1500,2003,2,1
347,w_1500,2002,0,0
348,w_1500,2001,0,0
349,w_1500,2000,0,0
350,m_3000SC,2024,0,0
351,m_3000SC,2023,2,2
352,m_3000SC,2022,1,1
353,m_3000SC,2021,0,0
354,m_3000SC,2020,0,0
355,m_3000SC,2019,0,0
356,m_3000SC,2018,1,1
357,m_3000SC,2017,0,0
358,m_3000SC,2016,0,0
359,m_3000SC,2015,0,0
360,m_3000SC,2014,1,1
361,m_3000SC,2013,0,0
362,m_3000SC,2012,3,2
363,m_3000SC,2011,3,3
364,m_3000SC,2010,0,0
365,m_3000SC,2009,1,1
366,m_3000SC,2008,0,0
367,m_3000SC,2007,2,1
368,m_3000SC,2006,3,2
369,m_3000SC,2005,4,2
370,m_3000SC,2004,4,2
371,m_3000SC,2003,4,2
372,m_3000SC,2002,5,3
373,m_3000SC,2001,6,5
374,m_3000SC,2000,3,2
375,w_3000SC,2024,3,2
376,w_3000SC,2023,6,4
377,w_3000SC,2022,6,4
378,w_3000SC,2021,5,4
379,w_3000SC,2020,0,0
380,w_3000SC,2019,3,1
381,w_3000SC,2018,8,5
382,w_3000SC,2017,17,7
383,w_3000SC,2016,11,3
384,w_3000SC,2015,3,2
385,w_3000SC,2014,4,3
386,w_3000SC,2013,1,1
387,w_3000SC,2012,7,4
388,w_3000SC,2011,2,2
389,w_3000SC,2010,3,2
390,w_3000SC,2009,12,7
391,w_3000SC,2008,11,6
392,w_3000SC,2007,9,4
393,w_3000SC,2006,9,7
394,w_3000SC,2005,13,5
395,w_3000SC,2004,10,7
396,w_3000SC,2003,13,8
397,w_3000SC,2002,19,8
398,w_3000SC,2001,8,6
399,w_3000SC,2000,4,2
400,m_5000,2024,3,3
401,m_5000,2023,10,8
402,m_5000,2022,4,3
403,m_5000,2021,1,1
404,m_5000,2020,3,3
405,m_5000,2019,0,0
406,m_5000,2018,3,3
407,m_5000,2017,0,0
408,m_5000,2016,0,0
409,m_5000,2015,0,0
410,m_5000,2014,0,0
411,m_5000,2013,0,0
412,m_5000,2012,6,6
413,m_5000,2011,0,0
414,m_5000,2010,0,0
415,m_5000,2009,0,0
416,m_5000,2008,1,1
417,m_5000,2007,3,3
418,m_5000,2006,4,2
419,m_5000,2005,4,4
420,m_5000,2004,3,3
421,m_5000,2003,7,5
422,m_5000,2002,0,0
423,m_5000,2001,0,0
424,m_5000,2000,4,4
425,w_5000,2024,1,1
426,w_5000,2023,11,8
427,w_5000,2022,1,1
428,w_5000,2021,3,3
429,w_5000,2020,2,2
430,w_5000,2019,3,3
431,w_5000,2018,5,5
432,w_5000,2017,3,2
433,w_5000,2016,5,3
